,,,,,close orice,gain and loss,Balance Before Variation,Margin call,Balance including,Balance after Withdrawals,1 = Marigin Call,1 = Incentive to Walk
,daily STD,,,,,,Margin and Withdrawals,, Any Variation Margin Due,Including Variation Margin Due,0 = No Margin Call,
initial Margin,2103.609783,6920.776715,6921,,,,,,,,,
maintenance Margin,1577.707337,5190.582536,5191,,,,,,,,157,
,,,,,,,,,,,,
Size of contract,1000,,,,64.01,,0,6921,6921,6921,0,
,,,,,63.28,-730,6191,0,6191,6191,1,
,,,,,62.17,-1110,5081,1840,6921,6921,0,
,2.326347874,,,,63.04,870,7791,0,7791,6921,0,
,,,,,63.92,880,7801,0,7801,6921,0,
,,,,,64.99,1070,7991,0,7991,6921,0,
,,,,,64.60,-390,6531,0,6531,6531,0,
,,,,,65.13,530,7061,0,7061,6921,0,
,,,,,66.30,1170,8091,0,8091,6921,0,
,,,,,65.28,-1020,5901,0,5901,5901,0,
,,,,,65.91,630,6531,0,6531,6531,0,
,,,,,66.36,450,6981,0,6981,6921,0,
,,,,,67.35,990,7911,0,7911,6921,0,
,,,,,67.38,30,6951,0,6951,6921,0,
,,,,,65.99,-1390,5531,0,5531,5531,1,
,,,,,64.72,-1270,4261,2660,6921,6921,0,
,,,,,63.68,-1040,5881,0,5881,5881,0,
,,,,,64.40,720,6601,0,6601,6601,0,
,,,,,63.72,-680,5921,0,5921,5921,0,
,,,,,65.34,1620,7541,0,7541,6921,0,
,,,,,66.66,1320,8241,0,8241,6921,0,
,,,,,65.00,-1660,5261,0,5261,5261,0,
,,,,,66.20,1200,6461,0,6461,6461,0,
,,,,,65.15,-1050,5411,0,5411,5411,1,
,,,,,63.82,-1330,4081,2840,6921,6921,0,
,,,,,64.73,910,7831,0,7831,6921,0,
,,,,,64.09,-640,6281,0,6281,6281,0,
,,,,,65.11,1020,7301,0,7301,6921,0,
,,,,,64.80,-310,6611,0,6611,6611,0,
,,,,,64.82,20,6631,0,6631,6631,0,
,,,,,65.92,1100,7731,0,7731,6921,0,
,,,,,66.20,280,7201,0,7201,6921,0,
,,,,,66.88,680,7601,0,7601,6921,0,
,,,,,66.88,0,6921,0,6921,6921,0,
,,,,,66.69,-190,6731,0,6731,6731,0,
,,,,,66.70,10,6741,0,6741,6741,0,
,,,,,67.02,320,7061,0,7061,6921,0,
,,,,,67.04,20,6941,0,6941,6921,0,
,,,,,66.95,-90,6831,0,6831,6831,0,
,,,,,68.13,1180,8011,0,8011,6921,0,
,,,,,68.31,180,7101,0,7101,6921,0,
,,,,,67.99,-320,6601,0,6601,6601,0,
,,,,,68.42,430,7031,0,7031,6921,0,
,,,,,68.42,0,6921,0,6921,6921,0,
,,,,,69.09,670,7591,0,7591,6921,0,
,,,,,69.01,-80,6841,0,6841,6841,0,
,,,,,69.64,630,7471,0,7471,6921,0,
,,,,,69.58,-60,6861,0,6861,6861,0,
,,,,,71.34,1760,8621,0,8621,6921,0,
,,,,,70.72,-620,6301,0,6301,6301,0,
,,,,,71.14,420,6721,0,6721,6721,0,
,,,,,70.35,-790,5931,0,5931,5931,0,
,,,,,70.05,-300,5631,0,5631,5631,0,
,,,,,70.14,90,5721,0,5721,5721,0,
,,,,,70.99,850,6571,0,6571,6571,0,
,,,,,70.59,-400,6171,0,6171,6171,1,
,,,,,69.57,-1020,5151,1770,6921,6921,0,
,,,,,68.88,-690,6231,0,6231,6231,0,
,,,,,69.64,760,6991,0,6991,6921,0,
,,,,,69.81,170,7091,0,7091,6921,0,
,,,,,70.79,980,7901,0,7901,6921,0,
,,,,,72.29,1500,8421,0,8421,6921,0,
,,,,,72.47,180,7101,0,7101,6921,0,
,,,,,71.30,-1170,5751,0,5751,5751,1,
,,,,,69.98,-1320,4431,2490,6921,6921,0,
,,,,,70.10,120,7041,0,7041,6921,0,
,,,,,69.58,-520,6401,0,6401,6401,0,
,,,,,70.37,790,7191,0,7191,6921,0,
,,,,,69.37,-1000,5921,0,5921,5921,0,
,,,,,69.81,440,6361,0,6361,6361,0,
,,,,,70.39,580,6941,0,6941,6921,1,
,,,,,68.58,-1810,5111,1810,6921,6921,0,
,,,,,69.71,1130,8051,0,8051,6921,0,
,,,,,69.53,-180,6741,0,6741,6741,0,
,,,,,69.53,0,6741,0,6741,6741,0,
,,,,,69.25,-280,6461,0,6461,6461,0,
,,,,,69.05,-200,6261,0,6261,6261,1,
,,,,,67.90,-1150,5111,1810,6921,6921,0,
,,,,,69.45,1550,8471,0,8471,6921,0,
,,,,,69.85,400,7321,0,7321,6921,0,
,,,,,69.89,40,6961,0,6961,6921,0,
,,,,,69.24,-650,6271,0,6271,6271,0,
,,,,,69.01,-230,6041,0,6041,6041,0,
,,,,,69.31,300,6341,0,6341,6341,1,
,,,,,67.98,-1330,5011,1910,6921,6921,1,
,,,,,66.14,-1840,5081,1840,6921,6921,0,
,,,,,66.61,470,7391,0,7391,6921,0,
,,,,,66.58,-30,6891,0,6891,6891,0,
,,,,,67.30,720,7611,0,7611,6921,0,
,,,,,67.26,-40,6881,0,6881,6881,0,
,,,,,66.86,-400,6481,0,6481,6481,0,
,,,,,67.33,470,6951,0,6951,6921,0,
,,,,,67.93,600,7521,0,7521,6921,0,
,,,,,68.03,100,7021,0,7021,6921,0,
,,,,,69.04,1010,7931,0,7931,6921,0,
,,,,,69.07,30,6951,0,6951,6921,0,
,,,,,69.51,440,7361,0,7361,6921,0,
,,,,,69.51,0,6921,0,6921,6921,0,
,,,,,70.69,1180,8101,0,8101,6921,0,
,,,,,70.69,0,6921,0,6921,6921,0,
,,,,,72.37,1680,8601,0,8601,6921,0,
,,,,,72.59,220,7141,0,7141,6921,0,
,,,,,72.37,-220,6701,0,6701,6701,0,
,,,,,72.15,-220,6481,0,6481,6481,0,
,,,,,72.40,250,6731,0,6731,6731,0,
,,,,,72.96,560,7291,0,7291,6921,0,
,,,,,74.23,1270,8191,0,8191,6921,0,
,,,,,74.27,40,6961,0,6961,6921,0,
,,,,,73.47,-800,6121,0,6121,6121,0,
,,,,,72.66,-810,5311,0,5311,5311,1,
,,,,,72.44,-220,5091,1830,6921,6921,0,
,,,,,71.67,-770,6151,0,6151,6151,0,
,,,,,71.70,30,6181,0,6181,6181,0,
,,,,,72.25,550,6731,0,6731,6731,0,
,,,,,71.26,-990,5741,0,5741,5741,0,
,,,,,72.16,900,6641,0,6641,6641,0,
,,,,,72.97,810,7451,0,7451,6921,0,
,,,,,72.12,-850,6071,0,6071,6071,0,
,,,,,73.29,1170,7241,0,7241,6921,0,
,,,,,73.69,400,7321,0,7321,6921,0,
,,,,,73.78,90,7011,0,7011,6921,0,
,,,,,73.66,-120,6801,0,6801,6801,0,
,,,,,73.48,-180,6621,0,6621,6621,0,
,,,,,74.81,1330,7951,0,7951,6921,0,
,,,,,73.70,-1110,5811,0,5811,5811,0,
,,,,,73.43,-270,5541,0,5541,5541,1,
,,,,,72.56,-870,4671,2250,6921,6921,0,
,,,,,73.29,730,7651,0,7651,6921,0,
,,,,,72.91,-380,6541,0,6541,6541,0,
,,,,,72.36,-550,5991,0,5991,5991,0,
,,,,,71.96,-400,5591,0,5591,5591,1,
,,,,,71.21,-750,4841,2080,6921,6921,0,
,,,,,71.45,240,7161,0,7161,6921,0,
,,,,,72.19,740,7661,0,7661,6921,0,
,,,,,71.95,-240,6681,0,6681,6681,0,
,,,,,71.84,-110,6571,0,6571,6571,0,
,,,,,71.85,10,6581,0,6581,6581,0,
,,,,,71.50,-350,6231,0,6231,6231,0,
,,,,,71.23,-270,5961,0,5961,5961,0,
,,,,,70.87,-360,5601,0,5601,5601,0,
,,,,,71.03,160,5761,0,5761,5761,0,
,,,,,71.24,210,5971,0,5971,5971,1,
,,,,,70.22,-1020,4951,1970,6921,6921,0,
,,,,,70.56,340,7261,0,7261,6921,0,
,,,,,69.76,-800,6121,0,6121,6121,0,
,,,,,69.80,40,6161,0,6161,6161,0,
,,,,,68.97,-830,5331,0,5331,5331,1,
,,,,,68.10,-870,4461,2460,6921,6921,0,
,,,,,66.66,-1440,5481,0,5481,5481,0,
,,,,,67.31,650,6131,0,6131,6131,0,
,,,,,67.37,60,6191,0,6191,6191,0,
,,,,,67.29,-80,6111,0,6111,6111,0,
,,,,,67.03,-260,5851,0,5851,5851,1,
,,,,,65.12,-1910,3941,2980,6921,6921,0,
,,,,,64.02,-1100,5821,0,5821,5821,0,
,,,,,63.96,-60,5761,0,5761,5761,0,
,,,,,63.45,-510,5251,0,5251,5251,0,
,,,,,63.77,320,5571,0,5571,5571,1,
,,,,,63.20,-570,5001,1920,6921,6921,0,
,,,,,64.81,1610,8531,0,8531,6921,0,
,,,,,65.22,410,7331,0,7331,6921,0,
,,,,,66.19,970,7891,0,7891,6921,0,
,,,,,65.38,-810,6111,0,6111,6111,0,
,,,,,64.60,-780,5331,0,5331,5331,0,
,,,,,64.84,240,5571,0,5571,5571,0,
,,,,,64.86,20,5591,0,5591,5591,0,
,,,,,64.76,-100,5491,0,5491,5491,0,
,,,,,64.69,-70,5421,0,5421,5421,0,
,,,,,64.73,40,5461,0,5461,5461,0,
,,,,,64.81,80,5541,0,5541,5541,0,
,,,,,65.71,900,6441,0,6441,6441,0,
,,,,,65.85,140,6581,0,6581,6581,0,
,,,,,67.17,1320,7901,0,7901,6921,0,
,,,,,67.39,220,7141,0,7141,6921,0,
,,,,,67.31,-80,6841,0,6841,6841,0,
,,,,,66.96,-350,6491,0,6491,6491,0,
,,,,,66.49,-470,6021,0,6021,6021,0,
,,,,,66.43,-60,5961,0,5961,5961,0,
,,,,,66.69,260,6221,0,6221,6221,0,
,,,,,67.80,1110,7331,0,7331,6921,0,
,,,,,66.62,-1180,5741,0,5741,5741,0,
,,,,,67.23,610,6351,0,6351,6351,1,
,,,,,65.60,-1630,4721,2200,6921,6921,0,
,,,,,66.04,440,7361,0,7361,6921,0,
,,,,,66.06,20,6941,0,6941,6921,0,
,,,,,65.28,-780,6141,0,6141,6141,0,
,,,,,66.27,990,7131,0,7131,6921,0,
,,,,,67.14,870,7791,0,7791,6921,0,
,,,,,65.74,-1400,5521,0,5521,5521,0,
,,,,,66.23,490,6011,0,6011,6011,0,
,,,,,67.13,900,6911,0,6911,6911,0,
,,,,,66.10,-1030,5881,0,5881,5881,0,
,,,,,65.83,-270,5611,0,5611,5611,0,
,,,,,65.83,0,5611,0,5611,5611,0,
,,,,,66.70,870,6481,0,6481,6481,0,
,,,,,65.72,-980,5501,0,5501,5501,0,
,,,,,66.81,1090,6591,0,6591,6591,0,
,,,,,67.33,520,7111,0,7111,6921,0,
,,,,,68.05,720,7641,0,7641,6921,0,
,,,,,67.98,-70,6851,0,6851,6851,0,
,,,,,67.98,0,6851,0,6851,6851,0,
,,,,,67.98,0,6851,0,6851,6851,0,
,,,,,68.34,360,7211,0,7211,6921,0,
,,,,,68.16,-180,6741,0,6741,6741,0,
,,,,,68.66,500,7241,0,7241,6921,0,
,,,,,68.96,300,7221,0,7221,6921,0,
,,,,,69.51,550,7471,0,7471,6921,0,
,,,,,69.00,-510,6411,0,6411,6411,0,
,,,,,68.92,-80,6331,0,6331,6331,0,
,,,,,68.46,-460,5871,0,5871,5871,0,
,,,,,68.06,-400,5471,0,5471,5471,1,
,,,,,67.64,-420,5051,1870,6921,6921,0,
,,,,,67.34,-300,6621,0,6621,6621,0,
,,,,,67.09,-250,6371,0,6371,6371,0,
,,,,,67.43,340,6711,0,6711,6711,0,
,,,,,68.28,850,7561,0,7561,6921,0,
,,,,,68.29,10,6931,0,6931,6921,0,
,,,,,67.02,-1270,5651,0,5651,5651,0,
,,,,,67.76,740,6391,0,6391,6391,0,
,,,,,68.66,900,7291,0,7291,6921,0,
,,,,,68.23,-430,6491,0,6491,6491,0,
,,,,,68.14,-90,6401,0,6401,6401,0,
,,,,,67.41,-730,5671,0,5671,5671,1,
,,,,,66.30,-1110,4561,2360,6921,6921,0,
,,,,,66.26,-40,6881,0,6881,6881,0,
,,,,,66.66,400,7281,0,7281,6921,0,
,,,,,66.66,0,6921,0,6921,6921,1,
,,,,,64.01,-2650,4271,2650,6921,6921,1,
,,,,,61.93,-2080,4841,2080,6921,6921,0,
,,,,,63.26,1330,8251,0,8251,6921,0,
,,,,,63.59,330,7251,0,7251,6921,0,
,,,,,63.47,-120,6801,0,6801,6801,0,
,,,,,61.96,-1510,5291,0,5291,5291,1,
,,,,,59.71,-2250,3041,3880,6921,6921,0,
,,,,,60.45,740,7661,0,7661,6921,0,
,,,,,60.45,0,6921,0,6921,6921,0,
,,,,,59.10,-1350,5571,0,5571,5571,0,
,,,,,59.62,520,6091,0,6091,6091,0,
,,,,,58.83,-790,5301,0,5301,5301,0,
,,,,,60.02,1190,6491,0,6491,6491,0,
,,,,,59.78,-240,6251,0,6251,6251,0,
,,,,,61.12,1340,7591,0,7591,6921,0,
,,,,,61.07,-50,6871,0,6871,6871,0,
,,,,,60.27,-800,6071,0,6071,6071,0,
,,,,,61.03,760,6831,0,6831,6831,0,
,,,,,59.96,-1070,5761,0,5761,5761,0,
,,,,,62.32,2360,8121,0,8121,6921,0,
,,,,,63.35,1030,7951,0,7951,6921,0,
,,,,,62.72,-630,6291,0,6291,6291,0,
,,,,,64.62,1900,8191,0,8191,6921,0,
,,,,,64.40,-220,6701,0,6701,6701,0,
,,,,,64.02,-380,6321,0,6321,6321,1,
,,,,,62.76,-1260,5061,1860,6921,6921,0,
,,,,,64.73,1970,8891,0,8891,6921,0,
,,,,,64.72,-10,6911,0,6911,6911,0,
,,,,,63.29,-1430,5481,0,5481,5481,0,
,,,,,64.31,1020,6501,0,6501,6501,1,
,,,,,62.76,-1550,4951,1970,6921,6921,0,
,,,,,62.23,-530,6391,0,6391,6391,0,
,,,,,63.47,1240,7631,0,7631,6921,0,
,,,,,62.86,-610,6311,0,6311,6311,0,
,,,,,64.15,1290,7601,0,7601,6921,0,
,,,,,65.94,1790,8711,0,8711,6921,0,
,,,,,67.02,1080,8001,0,8001,6921,0,
,,,,,67.21,190,7111,0,7111,6921,0,
,,,,,67.29,80,7001,0,7001,6921,0,
,,,,,68.09,800,7721,0,7721,6921,0,
,,,,,67.91,-180,6741,0,6741,6741,0,
,,,,,67.12,-790,5951,0,5951,5951,1,
,,,,,66.01,-1110,4841,2080,6921,6921,0,
,,,,,66.81,800,7721,0,7721,6921,0,
,,,,,67.68,870,7791,0,7791,6921,0,
,,,,,67.53,-150,6771,0,6771,6771,0,
,,,,,66.58,-950,5821,0,5821,5821,0,
,,,,,66.17,-410,5411,0,5411,5411,0,
,,,,,66.05,-120,5291,0,5291,5291,0,
,,,,,66.42,370,5661,0,5661,5661,1,
,,,,,65.86,-560,5101,1820,6921,6921,0,
,,,,,65.84,-20,6901,0,6901,6901,0,
,,,,,66.13,290,7191,0,7191,6921,0,
,,,,,65.89,-240,6681,0,6681,6681,0,
,,,,,66.50,610,7291,0,7291,6921,0,
,,,,,67.67,1170,8091,0,8091,6921,0,
,,,,,67.43,-240,6681,0,6681,6681,0,
,,,,,68.31,880,7561,0,7561,6921,0,
,,,,,68.78,470,7391,0,7391,6921,0,
,,,,,68.65,-130,6791,0,6791,6791,0,
,,,,,68.60,-50,6741,0,6741,6741,0,
,,,,,67.76,-840,5901,0,5901,5901,0,
,,,,,68.41,650,6551,0,6551,6551,0,
,,,,,68.43,20,6571,0,6571,6571,0,
,,,,,69.12,690,7261,0,7261,6921,0,
,,,,,69.58,460,7381,0,7381,6921,0,
,,,,,68.84,-740,6181,0,6181,6181,0,
,,,,,69.72,880,7061,0,7061,6921,0,
,,,,,69.61,-110,6811,0,6811,6811,0,
,,,,,70.43,820,7631,0,7631,6921,0,
,,,,,70.13,-300,6621,0,6621,6621,0,
,,,,,68.98,-1150,5471,0,5471,5471,1,
,,,,,68.45,-530,4941,1980,6921,6921,0,
,,,,,68.93,480,7401,0,7401,6921,0,
,,,,,68.52,-410,6511,0,6511,6511,0,
,,,,,69.04,520,7031,0,7031,6921,0,
,,,,,70.07,1030,7951,0,7951,6921,0,
,,,,,68.84,-1230,5691,0,5691,5691,0,
,,,,,70.12,1280,6971,0,6971,6921,0,
,,,,,69.49,-630,6291,0,6291,6291,0,
,,,,,70.59,1100,7391,0,7391,6921,0,
,,,,,70.08,-510,6411,0,6411,6411,0,
,,,,,69.94,-140,6271,0,6271,6271,0,
,,,,,69.91,-30,6241,0,6241,6241,0,
,,,,,69.90,-10,6231,0,6231,6231,0,
,,,,,69.45,-450,5781,0,5781,5781,0,
,,,,,68.96,-490,5291,0,5291,5291,0,
,,,,,69.00,40,5331,0,5331,5331,1,
,,,,,68.66,-340,4991,1930,6921,6921,0,
,,,,,68.78,120,7041,0,7041,6921,0,
,,,,,69.27,490,7411,0,7411,6921,0,
,,,,,68.81,-460,6461,0,6461,6461,0,
,,,,,69.32,510,6971,0,6971,6921,0,
,,,,,69.00,-320,6601,0,6601,6601,0,
,,,,,69.98,980,7581,0,7581,6921,0,
,,,,,69.79,-190,6731,0,6731,6731,0,
,,,,,70.41,620,7351,0,7351,6921,0,
,,,,,69.45,-960,5961,0,5961,5961,0,
,,,,,70.00,550,6511,0,6511,6511,0,
,,,,,69.89,-110,6401,0,6401,6401,0,
,,,,,70.29,400,6801,0,6801,6801,0,
,,,,,69.02,-1270,5531,0,5531,5531,0,
,,,,,69.26,240,5771,0,5771,5771,0,
,,,,,69.45,190,5961,0,5961,5961,0,
,,,,,70.31,860,6821,0,6821,6821,0,
,,,,,71.03,720,7541,0,7541,6921,0,
,,,,,70.69,-340,6581,0,6581,6581,0,
,,,,,71.14,450,7031,0,7031,6921,0,
,,,,,71.58,440,7361,0,7361,6921,0,
,,,,,69.91,-1670,5251,0,5251,5251,0,
,,,,,71.17,1260,6511,0,6511,6511,0,
,,,,,71.12,-50,6461,0,6461,6461,0,
,,,,,71.75,630,7091,0,7091,6921,0,
,,,,,72.15,400,7321,0,7321,6921,0,
,,,,,72.45,300,7221,0,7221,6921,0,
,,,,,72.68,230,7151,0,7151,6921,0,
,,,,,72.29,-390,6531,0,6531,6531,0,
